chr1_GL456221_random	136050	136150	B3-1-2	328	0.000220930765147902	+	Csprs, 
chr10	59559450	59559550	B3-2-21	262	0.000430130122570668	-	Mcu, 
chr10	59706550	59706650	N3-1-2	458	0.000304464189560202	+	Micu1, 
chr10	59714950	59715050	B3-1-13	93	0.00017064001012831	+	Micu1, 
chr10	59722750	59722850	B3-1-13	127	0.000233024529960166	+	Micu1, 
chr10	59747950	59748050	N3-1-5	179	0.000162098771581097	-	Micu1, 
chr10	59771450	59771550	N3-18	205	0.000227724136092387	+	Micu1, 
chr10	59800050	59800150	B3-1-3	108	0.000100849375854418	-	Micu1, 
chr10	59894650	59894750	B3-1-13	145	0.000266051628694677	-	Dnajb12, 
chr10	59919050	59919150	B3-4	196	0.000186858329925076	+	No results within 20000 bp window
chr10	59960350	59960450	N3-1-13	286	0.000395042902211688	+	Ddit4, 
chr10	60025550	60025650	B3-1-2	315	0.000212174362870699	+	Ascc1, 
chr10	60095550	60095650	N3-21	775	0.00110359244259895	+	Ascc1, Spock2, 
chr10	60097750	60097850	B3-2-36	128	0.000102700790073969	+	Ascc1, Spock2, 
chr10	60097750	60097850	N3-2-36	826	0.000606542582446834	+	Ascc1, Spock2, 
chr10	60281450	60281550	B3-1-5	124	0.000108047631578489	+	Psap, Psap, 
chr10	60395050	60395150	N3-18	383	0.00042545533718724	-	Cdh23, Gm17455, 
chr10	60442050	60442150	N3-18	110	0.000122193438878842	-	Cdh23, 
chr10	60460850	60460950	N3-1	412	0.000464347782964748	-	Cdh23, 
chr10	60503650	60503750	B3-2-21	263	0.000431771840595747	+	Cdh23, 
chr10	60791650	60791750	N3-2-21	283	0.000369805087890778	-	Unc5b, 
chr10	60874150	60874250	N3-2-2	457	0.000465860669942303	+	No results within 20000 bp window
chr10	60956950	60957050	B3-1-2	1874	0.00126226906672917	+	Pldi, 
chr10	60956950	60957050	N3-1-2	2485	0.00165195089750459	+	Pldi, 
chr10	60958750	60958850	N3-1-2	308	0.000204748843634372	+	No results within 20000 bp window
chr10	60997750	60997850	N3-1	200	0.000225411545128518	-	No results within 20000 bp window
chr10	61110750	61110850	N3-2-21	195	0.000254812693069617	-	Sgpl1, Pcbd1, 
chr10	61126150	61126250	B3-2-37	1	0.00013374348000535	+	Sgpl1, 
chr10	61129950	61130050	B3-1	107	0.000166758617680154	+	Sgpl1, 
chr10	61136450	61136550	B3-1-15	307	0.000404607517528599	-	Sgpl1, 
chr10	61144750	61144850	B3-1	73	0.000113769898043469	+	Sgpl1, 
chr10	61193350	61193450	B3-2-22	90	0.000122915221274713	+	Adamts14, Tbata, Tbata, 
chr10	61205750	61205850	N3-4	74	0.00012373009450304	-	Adamts14, Tbata, 
chr10	61230450	61230550	N3-1-15	707	0.000877933689308332	-	Adamts14, 
chr10	61230450	61230550	B3-1-15	292	0.000384838420580948	-	Adamts14, 
chr10	61275150	61275250	B3-2-21	135	0.000221631933385649	+	Adamts14, 
chr10	61332050	61332150	B3-1-15	124	0.000163424534767252	-	Pald1, 
chr10	61363950	61364050	B3-4	111	0.000105822829702466	-	Pald1, 
chr10	61372450	61372550	N3-1-2	257	0.000170845626019589	+	Pald1, 
chr10	61381450	61381550	B3-4	113	0.000107729547354763	+	Pald1, 
chr10	61381450	61381550	N3-4	377	0.000630354670643865	+	Pald1, 
chr10	61381550	61381650	N3-4	93	0.000155498632280847	-	Pald1, 
chr10	61421750	61421850	B3-2-21	125	0.000205214753134861	-	Nodal, Eif4ebp2, 
chr10	61425450	61425550	N3-1-15	207	0.000257047063206259	-	Nodal, Eif4ebp2, 
chr10	61429650	61429750	N3-18	237	0.000263271318311687	-	Eif4ebp2, Nodal, 
chr10	61499250	61499350	N3-1-2	190	0.000126306104839385	+	Lrrc20, 
chr10	61519850	61519950	B3-2-21	135	0.000221631933385649	+	Lrrc20, 
chr10	61549050	61549150	B3-1-11	166	0.000210833006288158	-	Lrrc20, 
chr10	61570750	61570850	B3-2-36	151	0.000121154838290385	+	Lrrc20, 
chr10	61700450	61700550	B3-2-22	106	0.000144766816167995	+	Tysnd1, Sar1a, Aifm2, 
chr10	61800750	61800850	N3-4	74	0.00012373009450304	+	H2afy2, 
chr10	61876650	61876750	N3-4	98	0.000163858773801323	+	Col13a1, 
chr10	61900550	61900650	N3-2-7	458	0.000462183686732301	+	Col13a1, 
chr10	61914750	61914850	B3-18	76	0.000103765457298466	-	Col13a1, 
chr10	61925350	61925450	B3-1-2	152	0.000102382549702686	-	Col13a1, 
chr10	62007250	62007350	N3-8	232	0.000253998005239804	-	No results within 20000 bp window
chr10	62148950	62149050	B3-2-36	374	0.000300078870997377	+	Neurog3, 
chr10	62178650	62178750	B3-1	86	0.000134030290845731	+	Tspan15, 
chr10	62286250	62286350	B3-2-2	80	0.000126789716086128	+	Hk1, 
chr10	62601050	62601150	N3-1-5	256	0.000231828410752854	+	Ddx21, Ddx50, 
chr10	62601450	62601550	N3-21	262	0.000373085445110872	-	Ddx21, Ddx50, 
chr10	62745550	62745650	B3-1-2	203	0.000136734589405562	+	Ccar1, Stox1, Snord98, 
chr10	62745550	62745650	N3-1-2	729	0.000484616581199536	+	Ccar1, Stox1, Snord98, 
chr10	62762350	62762450	B3-2-36	185	0.000148434735653783	+	Ccar1, Snord98, 
chr10	62768550	62768650	N3-2-2	734	0.000748231360476258	-	Ccar1, Snord98, 
chr10	62788450	62788550	B3-10	178	0.000131420985716458	+	Ccar1, Tet1, 
chr10	62846550	62846650	N3-18	126	0.000139967029988492	-	Tet1, 
chr10	63004050	63004150	B3-18	80	0.00010922679715628	+	Rufy2, Hnrnph3, 
chr10	63125050	63125150	N3-1-15	178	0.000221035638892338	+	Mypn, 
chr10	63247850	63247950	B3-10	184	0.000135850906583305	+	Herc4, 
chr10	63265050	63265150	B3-2-22	87	0.000118818047232222	-	Herc4, 
chr10	63268650	63268750	B3-2-2	64	0.000101431772868903	+	Herc4, 
chr10	63270950	63271050	B3-18	106	0.000144725506232071	+	Herc4, 
chr10	63286750	63286850	N3-1-15	153	0.000189991307587235	-	Herc4, 
chr10	63299350	63299450	N3-9	2907	0.00300420402544738	-	Herc4, Sirt1, 
chr10	63299350	63299450	B3-9	10939	0.00885336786516399	-	Herc4, Sirt1, 
chr10	63314950	63315050	B3-14	364	0.000985160345672196	-	Herc4, Sirt1, 
chr10	63323050	63323150	B3-1-2	463	0.00031186263494963	-	Sirt1, Herc4, 
chr10	63323750	63323850	B3-1-15	411	0.000541673256365649	+	Sirt1, Herc4, 
chr10	63323750	63323850	N3-1-15	875	0.00108655159567863	+	Sirt1, Herc4, 
chr10	63325650	63325750	B3-1-15	905	0.00119273551584164	-	Sirt1, Herc4, 
chr10	63326350	63326450	B3-1-15	116	0.000152881016395171	+	Sirt1, Herc4, 
chr10	63326350	63326450	N3-1-15	4148	0.0051508754501428	+	Sirt1, Herc4, 
chr10	63326450	63326550	B3-1-15	8195	0.0108005166324002	+	Sirt1, Herc4, 
chr10	63336550	63336650	B3-1	96	0.000149615208385932	+	Sirt1, Herc4, 
chr10	63432550	63432650	N3-1-11	715	0.000759701601960986	+	Ctnna3, 
chr10	63435350	63435450	N3-2-36	354	0.000259946821048643	-	Ctnna3, 
chr10	63466050	63466150	B3-2-22	200	0.000273144936166028	+	Ctnna3, 
chr10	63472250	63472350	B3-2-36	127	0.000101898440151516	-	Ctnna3, 
chr10	63535650	63535750	B3-1	85	0.000132471799091711	-	Ctnna3, 
chr10	63579850	63579950	B3-1-2	253	0.000170413059702498	-	Ctnna3, 
chr10	63600550	63600650	B3-1-2	586	0.000394711671880094	+	Ctnna3, 
chr10	63634250	63634350	N3-2-21	697	0.000910792036253966	-	Ctnna3, 
chr10	63660350	63660450	B3-1-3	132	0.000123260348266511	-	Ctnna3, 
chr10	63715650	63715750	N3-4	67	0.000112025896374374	+	Ctnna3, 
chr10	63716450	63716550	N3-1-15	359	0.000445796597541289	+	Ctnna3, 
chr10	63748450	63748550	N3-1-5	414	0.000374910008014381	-	Ctnna3, 
chr10	63832050	63832150	N3-1-15	187	0.000232211598162176	+	Ctnna3, 
chr10	63856150	63856250	N3-1-2	555	0.000368946779925572	-	Ctnna3, 
chr10	63871850	63871950	B3-1-2	200	0.000134713881187745	+	Ctnna3, 
chr10	63961050	63961150	N3-1-5	169	0.000153042974286064	+	Lrrtm3, Ctnna3, 
chr10	63963250	63963350	N3-1-5	256	0.000231828410752854	+	Lrrtm3, Ctnna3, 
chr10	63999750	63999850	N3-2-36	167	0.000122630279986224	-	Lrrtm3, Ctnna3, 
chr10	64157950	64158050	B3-2-21	78	0.000128054005956153	+	Ctnna3, 
chr10	64239750	64239850	N3-1-2	337	0.000224027143846699	+	Ctnna3, 
chr10	64368350	64368450	N3-8	188	0.000205825969763289	+	Ctnna3, 
chr10	64376450	64376550	B3-2-22	85	0.000116086597870562	-	Ctnna3, 
chr10	64411950	64412050	B3-1	82	0.000127796323829651	-	Ctnna3, 
chr10	64434850	64434950	B3-2-36	164	0.000131585387282272	+	Ctnna3, 
chr10	64458150	64458250	B3-1	94	0.000146498224877892	+	Ctnna3, 
chr10	64534150	64534250	N3-1-15	221	0.000274431888737117	+	Ctnna3, 
chr10	64680550	64680650	N3-2-2	543	0.000553528104548513	-	Ctnna3, 
chr10	64682550	64682650	B3-1-2	310	0.000208806515841005	+	Ctnna3, 
chr10	64885650	64885750	B3-1-3	142	0.000132598253438217	-	Ctnna3, 
chr10	64900750	64900850	N3-1-5	177	0.00016028761212209	+	Ctnna3, 
chr10	64937550	64937650	N3-1-15	299	0.00037129020240904	+	Ctnna3, 
chr10	65017750	65017850	B3-2-22	81	0.000110623699147242	+	Ctnna3, 
chr10	65042750	65042850	N3-1-3	421	0.000376908828350706	+	No results within 20000 bp window
chr10	65057950	65058050	B3-2-7	172	0.000267337289510742	-	No results within 20000 bp window
chr10	65063150	65063250	B3-1-15	102	0.00013442985924403	+	No results within 20000 bp window
chr10	65070150	65070250	N3-18	185	0.000205507147205325	+	No results within 20000 bp window
chr10	65070750	65070850	B3-1-2	196	0.00013201960356399	+	No results within 20000 bp window
chr10	65088650	65088750	B3-2-21	129	0.000211781625235176	+	No results within 20000 bp window
chr10	65254750	65254850	B3-1-2	164	0.000110465382573951	+	No results within 20000 bp window
chr10	65273350	65273450	N3-2-21	210	0.000274413669459588	+	No results within 20000 bp window
chr10	65282350	65282450	N3-1	372	0.000419265473939044	+	No results within 20000 bp window
chr10	65315150	65315250	N3-1-15	174	0.000216068545883522	-	No results within 20000 bp window
chr10	65327050	65327150	B3-1-2	160	0.000107771104950196	-	No results within 20000 bp window
chr10	65406650	65406750	B3-2-21	284	0.000466247919122403	+	No results within 20000 bp window
chr10	65464250	65464350	N3-9	165	0.000170517256346342	+	No results within 20000 bp window
chr10	65509650	65509750	N3-18	107	0.000118860890545783	+	No results within 20000 bp window
chr10	65520250	65520350	B3-1-2	228	0.00015357382455403	+	No results within 20000 bp window
chr10	65528450	65528550	N3-10	182	0.000186988094406385	-	No results within 20000 bp window
chr10	65551950	65552050	N3-4	67	0.000112025896374374	-	No results within 20000 bp window
chr10	65627350	65627450	B3-1-13	193	0.000354123891986708	+	No results within 20000 bp window
chr10	65691650	65691750	B3-2-21	143	0.00023476567758628	-	No results within 20000 bp window
chr10	65741550	65741650	N3-1-3	155	0.000138766908300141	-	No results within 20000 bp window
chr10	65747150	65747250	B3-1	121	0.000188577502236436	-	No results within 20000 bp window
chr10	65751050	65751150	B3-10	170	0.000125514424560663	+	No results within 20000 bp window
chr10	65838950	65839050	B3-1-3	139	0.000129796881886705	-	No results within 20000 bp window
chr10	65882250	65882350	N3-1-3	299	0.000267685842462853	+	No results within 20000 bp window
chr10	65919650	65919750	N3-1-5	332	0.000300652470195107	+	No results within 20000 bp window
chr10	65925850	65925950	N3-1-2	237	0.000157550246562812	-	No results within 20000 bp window
chr10	65927950	65928050	N3-1-2	157	0.000104368728735702	+	No results within 20000 bp window
chr10	65962350	65962450	N3-1-2	311	0.000206743150552888	-	No results within 20000 bp window
chr10	65963750	65963850	N3-1-2	1284	0.000853563361125108	+	No results within 20000 bp window
chr10	66126350	66126450	B3-1-3	115	0.000107385909474612	+	1700023F02Rik, 
chr10	66178550	66178650	B3-2-2	82	0.000129959458988281	-	No results within 20000 bp window
chr10	66199650	66199750	B3-21	112	0.000137465817651593	+	No results within 20000 bp window
chr10	66216750	66216850	B3-2-22	113	0.000154326888933806	-	No results within 20000 bp window
chr10	66269150	66269250	B3-21	197	0.000241792554262177	-	No results within 20000 bp window
chr10	66291550	66291650	N3-1-15	97	0.000120452005463802	-	No results within 20000 bp window
chr10	66344750	66344850	B3-1-2	252	0.000169739490296559	+	No results within 20000 bp window
chr10	66383450	66383550	N3-1-5	146	0.000132214640507487	+	No results within 20000 bp window
chr10	66383650	66383750	B3-1-15	137	0.000180557752121883	-	No results within 20000 bp window
chr10	66444550	66444650	N3-1-15	767	0.000952440084440581	-	No results within 20000 bp window
chr10	66444550	66444650	B3-1-15	423	0.00055748853392377	-	No results within 20000 bp window
chr10	66509450	66509550	N3-1-2	979	0.000650808824409253	+	No results within 20000 bp window
chr10	66537250	66537350	B3-21	222	0.000272476888559407	+	No results within 20000 bp window
chr10	66626450	66626550	N3-2-7	120	0.000121096162462612	+	No results within 20000 bp window
chr10	66642750	66642850	N3-1-2	216	0.000143590098133196	+	No results within 20000 bp window
chr10	66672850	66672950	B3-1-2	281	0.000189273003068782	+	No results within 20000 bp window
chr10	66802450	66802550	N3-1	125	0.000140882215705324	-	No results within 20000 bp window
chr10	67008050	67008150	N3-1-11	1598	0.00169790651738973	+	Reep3, 
chr10	67063550	67063650	N3-2-22	324	0.00026488701832871	-	Reep3, 
chr10	67089950	67090050	B3-1-15	82	0.000108071063313828	+	Reep3, 
chr10	67094450	67094550	B3-4	171	0.000163024359271367	-	Reep3, 
chr10	67104050	67104150	N3-1-13	371	0.000512450757764112	-	Reep3, 
chr10	67113250	67113350	B3-2-2	76	0.000120450230281822	-	Jmjd1c, Reep3, 
chr10	67124650	67124750	B3-1-2	474	0.000319271898414956	-	Jmjd1c, 
chr10	67143550	67143650	N3-1-5	145	0.000131309060777984	+	Jmjd1c, 
chr10	67148450	67148550	N3-2-36	372	0.000273164456017218	+	Jmjd1c, 
chr10	67168550	67168650	N3-10	363	0.000372948781700646	+	Jmjd1c, Jmjd1c, 
chr10	67209350	67209450	B3-14	82	0.000221931726222857	+	Jmjd1c, 
chr10	67211350	67211450	B3-8	130	0.000138974857310238	-	Jmjd1c, 
chr10	67214550	67214650	B3-1-2	552	0.000371810312078177	-	Jmjd1c, 
chr10	67215150	67215250	N3-2-2	218	0.000222226752838998	+	Jmjd1c, 
chr10	67234150	67234250	N3-8	1039	0.0011375169286386	-	Jmjd1c, 
chr10	67234150	67234250	B3-8	1949	0.00208355382228964	-	Jmjd1c, 
chr10	67236450	67236550	N3-1-5	872	0.000789665524126908	+	Jmjd1c, 
chr10	67269250	67269350	B3-18	76	0.000103765457298466	+	Nrbf2, Jmjd1c, 
chr10	67320950	67321050	N3-10	238	0.000244522892685272	-	No results within 20000 bp window
chr10	67337250	67337350	N3-1-5	363	0.000328725441809711	-	No results within 20000 bp window
chr10	67346550	67346650	B3-1-11	93	0.000118117286655414	+	No results within 20000 bp window
chr10	67456550	67456650	B3-2-37	1	0.00013374348000535	+	No results within 20000 bp window
chr10	67520750	67520850	N3-1-15	101	0.000125419098472619	+	Egr2, 
chr10	67731450	67731550	N3-1-11	1373	0.0014588395797097	-	No results within 20000 bp window
chr10	67862450	67862550	B3-1	84	0.000130913307337691	-	No results within 20000 bp window
chr10	67933550	67933650	N3-1-15	180	0.000223519185396747	-	No results within 20000 bp window
chr10	68073950	68074050	N3-2-2	893	0.000910314175620298	+	No results within 20000 bp window
chr10	68113950	68114050	B3-2-36	197	0.000158062934723217	+	Arid5b, 
chr10	68172850	68172950	B3-1-11	761	0.000966529625212579	-	Arid5b, 
chr10	68194850	68194950	B3-2-22	296	0.000404254505525722	+	Arid5b, 
chr10	68200450	68200550	B3-1-13	91	0.000166970332491142	+	Arid5b, 
chr10	68216850	68216950	N3-8	150	0.00016422284821539	+	Arid5b, 
chr10	68364050	68364150	N3-1-3	207	0.000185320967858898	+	No results within 20000 bp window
chr10	68408150	68408250	B3-1-3	116	0.000108319699991783	+	No results within 20000 bp window
chr10	68703450	68703550	B3-2-21	222	0.000364461401567512	-	No results within 20000 bp window
chr10	68720450	68720550	N3-4	87	0.000145466462456276	-	Tmem26, 
chr10	68758150	68758250	B3-2-36	205	0.00016448173410284	+	Tmem26, 
chr10	68784050	68784150	B3-2-21	242	0.00039729576206909	-	Tmem26, 
chr10	68843250	68843350	N3-4	77	0.000128746179415325	-	No results within 20000 bp window
chr10	68882350	68882450	N3-1-5	166	0.000150326235097554	-	No results within 20000 bp window
chr10	69048450	69048550	N3-1-2	297	0.000197436384933144	-	No results within 20000 bp window
chr10	69109350	69109450	N3-1-3	157	0.000140557449052401	-	No results within 20000 bp window
chr10	69137250	69137350	B3-2-21	139	0.000228198805485965	+	No results within 20000 bp window
chr10	69228950	69229050	B3-1-3	209	0.000195162218088643	-	Rhobtb1, 
chr10	69245250	69245350	B3-2-2	186	0.000294786089900248	-	Rhobtb1, 
chr10	69276050	69276150	B3-2-2	97	0.000153732530754431	+	Rhobtb1, 
chr10	69468250	69468350	N3-1-15	289	0.000358872469886999	-	No results within 20000 bp window
chr10	69490150	69490250	B3-1-15	304	0.000400653698139069	-	No results within 20000 bp window
chr10	69491150	69491250	N3-2-21	228	0.000297934841127553	-	No results within 20000 bp window
chr10	69505350	69505450	B3-1-15	99	0.000130476039854499	+	No results within 20000 bp window
chr10	69523150	69523250	N3-9	398	0.000411308291065723	+	Ank3, 
chr10	69578850	69578950	B3-2-2	97	0.000153732530754431	-	Ank3, 
chr10	69582850	69582950	N3-4	105	0.000175562971929989	-	Ank3, 
chr10	69583750	69583850	B3-1-13	100	0.000183483881858398	-	Ank3, 
chr10	69584050	69584150	N3-1-11	1102	0.00117089673477064	-	Ank3, 
chr10	69604950	69605050	B3-1-15	77	0.000101481364331277	+	Ank3, 
chr10	69609250	69609350	N3-2-21	230	0.000300548304646215	-	Ank3, 
chr10	69766250	69766350	N3-2-2	128	0.000130481763134824	-	Ank3, 
chr10	69768750	69768850	B3-1-3	177	0.000165280921539186	+	Ank3, 
chr10	69838250	69838350	B3-2-21	200	0.000328343605015777	+	Ank3, 
chr10	69900150	69900250	B3-1-2	170	0.000114506799009584	+	Ank3, 
chr10	70039650	70039750	N3-9	623	0.000643831822447098	-	Ank3, 
chr10	70039650	70039750	B3-9	935	0.000756732695303806	-	Ank3, 
chr10	70104550	70104650	B3-1-11	200	0.000254015670226696	+	Ccdc6, 
chr10	70115250	70115350	B3-2-21	129	0.000211781625235176	-	Ccdc6, 
chr10	70217050	70217150	N3-2-2	707	0.000720707863565006	+	2310015B20Rik, 
chr10	70269750	70269850	B3-1-3	131	0.000122326557749341	-	Slc16a9, 
chr10	70358050	70358150	B3-2-21	149	0.000244615985736754	-	No results within 20000 bp window
chr10	70466450	70466550	B3-1-2	444	0.000299064816236795	+	Fam13c, 
chr10	70583850	70583950	N3-2-2	190	0.000193683867153255	+	Phyhipl, D630013N20Rik, 
chr10	70584750	70584850	N3-1-3	663	0.000593564259374152	-	Phyhipl, D630013N20Rik, 
chr10	70590350	70590450	B3-2-7	69	0.000107245773117681	-	Phyhipl, D630013N20Rik, 
chr10	70672550	70672650	B3-1-13	205	0.000376141957809716	+	D630013N20Rik, 
chr10	70831350	70831450	B3-1-2	468	0.000315230481979324	+	No results within 20000 bp window
chr10	70854250	70854350	N3-10	221	0.000227056971779181	-	No results within 20000 bp window
chr10	71007450	71007550	N3-10	127	0.00013048070323962	-	Bicc1, 
chr10	71027450	71027550	N3-1	285	0.000321211451808139	+	Bicc1, 
chr10	71070050	71070150	B3-2-22	121	0.000165252686380447	+	Bicc1, 
chr10	71102150	71102250	N3-1-13	202	0.000279016315548115	-	Bicc1, 
chr10	71121450	71121550	B3-2-22	151	0.000206224426805351	-	Bicc1, 
chr10	71133050	71133150	N3-18	483	0.000536540281622551	+	Bicc1, 
chr10	71140350	71140450	N3-8	429	0.000469677345896016	+	Bicc1, 
chr10	71268650	71268750	B3-14	91	0.000246290086418049	+	Ube2d1, 
chr10	71274350	71274450	N3-8	115	0.000125904183631799	+	Ube2d1, 
chr10	71332950	71333050	N3-2-22	1015	0.000829815813591484	-	Cisd1, Ipmk, 
chr10	71357450	71357550	N3-1	97	0.000109324599387331	-	Ipmk, Cisd1, 
chr10	71357450	71357550	B3-1	245	0.000381830479734932	-	Ipmk, Cisd1, 
chr10	71387650	71387750	N3-8	531	0.000581348882682482	-	Ipmk, 
chr10	71462350	71462450	B3-2-22	384	0.000524438277438775	-	No results within 20000 bp window
chr10	71494850	71494950	B3-1	66	0.000102860455765329	-	No results within 20000 bp window
chr10	71542850	71542950	B3-2-36	177	0.00014201593627416	+	No results within 20000 bp window
chr10	71564350	71564450	B3-1-11	146	0.000185431439265488	+	No results within 20000 bp window
chr10	71602650	71602750	B3-10	137	0.000101149859793005	+	No results within 20000 bp window
chr10	71655350	71655450	N3-4	92	0.000153826603976752	-	No results within 20000 bp window
chr10	71749450	71749550	B3-2-21	185	0.000303717834639594	+	No results within 20000 bp window
chr10	71870650	71870750	B3-1-2	159	0.000107097535544258	-	No results within 20000 bp window
chr10	71954750	71954850	B3-2-21	63	0.00010342823557997	+	No results within 20000 bp window
chr10	71984050	71984150	B3-21	249	0.000305615969600416	-	1700049L16Rik, 
chr10	71987650	71987750	B3-2-22	163	0.000222613122975313	-	1700049L16Rik, 
chr10	72002350	72002450	N3-8	597	0.000653606935897253	+	No results within 20000 bp window
chr10	72045250	72045350	N3-18	131	0.000145521277210257	+	No results within 20000 bp window
chr10	72067750	72067850	B3-18	83	0.000113322802049641	-	No results within 20000 bp window
chr10	72156150	72156250	B3-21	101	0.000123964710560811	+	No results within 20000 bp window
chr10	72167850	72167950	N3-2-21	447	0.000584109096421123	-	No results within 20000 bp window
chr10	72202650	72202750	N3-2-7	184	0.000185680782442671	+	No results within 20000 bp window
chr10	72231750	72231850	B3-2-22	119	0.000162521237018787	-	No results within 20000 bp window
chr10	72262450	72262550	B3-2-21	120	0.000197006163009466	+	No results within 20000 bp window
chr10	72379550	72379650	N3-1	301	0.00033924437541842	+	No results within 20000 bp window
chr10	72440850	72440950	N3-1-5	285	0.00025809022290845	-	No results within 20000 bp window
chr10	72450050	72450150	B3-2-22	184	0.000251293341272746	+	No results within 20000 bp window
chr10	72454050	72454150	B3-1-3	197	0.000183956731882596	-	No results within 20000 bp window
chr10	72456950	72457050	N3-10	114	0.000117124410782021	-	No results within 20000 bp window
chr10	72463650	72463750	N3-1-5	213	0.00019288848238421	-	No results within 20000 bp window
chr10	72472050	72472150	N3-10	834	0.000856857531510576	+	No results within 20000 bp window
chr10	72534550	72534650	N3-1	140	0.000157788081589963	-	No results within 20000 bp window
chr10	72779750	72779850	N3-18	96	0.000106641546657898	-	No results within 20000 bp window
chr10	72817650	72817750	N3-2-7	137	0.000138251452144815	-	No results within 20000 bp window
chr10	72867350	72867450	N3-18	590	0.000655401172168334	-	No results within 20000 bp window
chr10	72957250	72957350	N3-1-11	828	0.000879766330662513	-	A330049N07Rik, 
chr10	73006150	73006250	B3-2-22	74	0.000101063626381431	-	A330049N07Rik, 
chr10	73010750	73010850	N3-1-2	155	0.000103039190790025	-	A330049N07Rik, 
chr10	73032450	73032550	B3-1-11	95	0.000120657443357681	+	A330049N07Rik, 
chr10	73096550	73096650	B3-1-2	255	0.000171760198514375	-	A330049N07Rik, 
chr10	73112050	73112150	B3-2-36	278	0.000223053278441901	-	No results within 20000 bp window
chr10	73184250	73184350	N3-1	111	0.000125103407546328	+	No results within 20000 bp window
chr10	73188150	73188250	N3-2-7	199	0.000200817802750498	+	No results within 20000 bp window
chr10	73281450	73281550	B3-2-21	130	0.000213423343260255	+	No results within 20000 bp window
chr10	73377850	73377950	N3-2-2	479	0.0004882872229811	+	No results within 20000 bp window
chr10	73380450	73380550	N3-2-36	207	0.000152002802138613	-	No results within 20000 bp window
chr10	73382150	73382250	N3-1	280	0.000315576163179926	-	No results within 20000 bp window
chr10	73488550	73488650	B3-2-21	87	0.000142829468181863	-	No results within 20000 bp window
chr10	73490050	73490150	B3-1-3	121	0.000112988652577635	-	No results within 20000 bp window
chr10	73491250	73491350	B3-1-11	299	0.000379753426988911	+	No results within 20000 bp window
chr10	73513450	73513550	B3-1-11	215	0.000273066845493699	+	No results within 20000 bp window
chr10	73557550	73557650	N3-9	209	0.000215988524705367	+	No results within 20000 bp window
chr10	73629850	73629950	B3-18	139	0.000189781560059037	-	No results within 20000 bp window
chr10	73644550	73644650	B3-21	161	0.000197607112874165	-	No results within 20000 bp window
chr10	73655750	73655850	B3-2-21	186	0.000305359552664673	+	No results within 20000 bp window
chr10	73657050	73657150	B3-1-11	129	0.000163840107296219	-	No results within 20000 bp window
chr10	73689250	73689350	N3-10	177	0.00018185105884577	+	No results within 20000 bp window
chr10	73740650	73740750	N3-2-36	426	0.000312817360922943	-	No results within 20000 bp window
chr10	73751250	73751350	B3-1-13	111	0.000203667108862822	-	No results within 20000 bp window
chr10	74036250	74036350	N3-8	144	0.000157653934286775	+	Pcdh15, 
chr10	74162350	74162450	N3-1-15	269	0.000334037004842916	+	Pcdh15, 
chr10	74170650	74170750	B3-2-21	189	0.000310284706739909	+	Pcdh15, 
chr10	74193650	74193750	N3-1-3	209	0.000187111508611158	+	Pcdh15, 
chr10	74203650	74203750	N3-2-21	92	0.000120219321858486	+	Pcdh15, 
chr10	74311750	74311850	N3-1	120	0.000135246927077111	-	Pcdh15, 
chr10	74378150	74378250	B3-2-37	1	0.00013374348000535	-	Pcdh15, 
chr10	74400050	74400150	N3-18	189	0.000209950544982737	-	Pcdh15, 
chr10	74498750	74498850	B3-1	76	0.00011844537330553	+	Pcdh15, 
chr10	74498750	74498850	N3-10	133	0.000136645145912358	+	Pcdh15, 
chr10	74550750	74550850	B3-1-11	112	0.00014224877532695	+	Pcdh15, 
chr10	74648550	74648650	N3-4	127	0.000212347594620082	+	Pcdh15, Pcdh15, Pcdh15, 
chr10	74651050	74651150	N3-4	93	0.000155498632280847	+	Pcdh15, Pcdh15, Pcdh15, 
chr10	74836150	74836250	N3-4	89	0.000148810519064467	+	No results within 20000 bp window
chr10	74836850	74836950	B3-21	299	0.000366984638194877	+	No results within 20000 bp window
chr10	74941850	74941950	N3-2-21	192	0.000250892497791623	+	Rtdr1, 
chr10	74960750	74960850	N3-1-13	766	0.00105805196886067	-	Rtdr1, Gnaz, 
chr10	75067150	75067250	N3-1-2	364	0.000241975906113348	-	Bcr, Rab36, 
chr10	75067150	75067250	B3-1-2	433	0.000291655552771469	-	Bcr, Rab36, 
chr10	75067350	75067450	B3-1-2	303	0.000204091529999434	-	Bcr, Rab36, 
chr10	75073250	75073350	N3-1-2	1066	0.000708643725046235	+	Bcr, Rab36, 
chr10	75106250	75106350	N3-2-7	167	0.000168525492760468	-	Bcr, 
chr10	75112850	75112950	N3-4	113	0.00018893919836275	+	Bcr, 
chr10	75118350	75118450	N3-8	144	0.000157653934286775	-	Bcr, 
chr10	75127250	75127350	B3-1-2	512	0.000344867535840628	-	Bcr, 
chr10	75131350	75131450	N3-10	121	0.000124316260566882	-	Bcr, 
chr10	75131350	75131450	B3-2-21	163	0.000267600038087858	-	Bcr, 
chr10	75175750	75175850	B3-21	167	0.0002049713531055	+	Bcr, 
chr10	75258150	75258250	B3-2-36	169	0.000135597136894537	+	Specc1l, 
chr10	75277850	75277950	N3-2-2	175	0.000178393035535893	+	Specc1l, 
